Local time,Open,High,Low,Close,Volume
30.05.2022 03:21:00.000 GMT+0200,1.07343,1.07343,1.07331,1.07331,46.8
30.05.2022 03:22:00.000 GMT+0200,1.07330,1.07340,1.07330,1.07339,41.4
30.05.2022 03:23:00.000 GMT+0200,1.07337,1.07348,1.07333,1.07347,79.2
30.05.2022 03:24:00.000 GMT+0200,1.07346,1.07349,1.07342,1.07345,64.88
30.05.2022 03:25:00.000 GMT+0200,1.07344,1.07344,1.07337,1.07337,59.4
30.05.2022 03:26:00.000 GMT+0200,1.07338,1.07346,1.07334,1.07344,67.76
30.05.2022 03:27:00.000 GMT+0200,1.07345,1.07346,1.07334,1.07341,68.4
30.05.2022 03:28:00.000 GMT+0200,1.07341,1.07347,1.07340,1.07347,57.6
30.05.2022 03:29:00.000 GMT+0200,1.07346,1.07349,1.07344,1.07346,37.07
30.05.2022 03:30:00.000 GMT+0200,1.07347,1.07349,1.07333,1.07334,45.82
30.05.2022 03:31:00.000 GMT+0200,1.07337,1.07341,1.07333,1.07337,45.08
30.05.2022 03:32:00.000 GMT+0200,1.07338,1.07348,1.07332,1.07348,90.08
30.05.2022 03:33:00.000 GMT+0200,1.07347,1.07362,1.07345,1.07358,45.79
30.05.2022 03:34:00.000 GMT+0200,1.07358,1.07391,1.07358,1.07389,60.46
30.05.2022 03:35:00.000 GMT+0200,1.07390,1.07399,1.07386,1.07397,101.65
30.05.2022 03:36:00.000 GMT+0200,1.07395,1.07425,1.07392,1.07424,106.32
30.05.2022 03:37:00.000 GMT+0200,1.07421,1.07443,1.07421,1.07442,125.58
30.05.2022 03:38:00.000 GMT+0200,1.07440,1.07453,1.07438,1.07452,48.59
30.05.2022 03:39:00.000 GMT+0200,1.07453,1.07459,1.07451,1.07455,52.13
30.05.2022 03:40:00.000 GMT+0200,1.07457,1.07484,1.07457,1.07481,72.07
30.05.2022 03:41:00.000 GMT+0200,1.07481,1.07481,1.07473,1.07474,43.42
30.05.2022 03:42:00.000 GMT+0200,1.07474,1.07474,1.07461,1.07472,93.89
30.05.2022 03:43:00.000 GMT+0200,1.07471,1.07478,1.07463,1.07471,144.92
30.05.2022 03:44:00.000 GMT+0200,1.07470,1.07476,1.07470,1.07475,25.5
30.05.2022 03:45:00.000 GMT+0200,1.07475,1.07490,1.07474,1.07486,86.37
30.05.2022 03:46:00.000 GMT+0200,1.07486,1.07486,1.07463,1.07464,71.45
30.05.2022 03:47:00.000 GMT+0200,1.07467,1.07474,1.07464,1.07466,78.2
30.05.2022 03:48:00.000 GMT+0200,1.07466,1.07484,1.07465,1.07473,89.39
30.05.2022 03:49:00.000 GMT+0200,1.07478,1.07491,1.07478,1.07488,67.31
30.05.2022 03:50:00.000 GMT+0200,1.07489,1.07518,1.07489,1.07514,146.14
30.05.2022 03:51:00.000 GMT+0200,1.07516,1.07528,1.07515,1.07517,124.11
30.05.2022 03:52:00.000 GMT+0200,1.07517,1.07517,1.07503,1.07512,55.07
30.05.2022 03:53:00.000 GMT+0200,1.07513,1.07513,1.07502,1.07504,103
30.05.2022 03:54:00.000 GMT+0200,1.07504,1.07505,1.07489,1.07491,138.42
30.05.2022 03:55:00.000 GMT+0200,1.07490,1.07491,1.07473,1.07475,158.26
30.05.2022 03:56:00.000 GMT+0200,1.07476,1.07478,1.07467,1.07469,81.16
30.05.2022 03:57:00.000 GMT+0200,1.07472,1.07476,1.07468,1.07474,65.82
30.05.2022 03:58:00.000 GMT+0200,1.07473,1.07489,1.07469,1.07482,87.88
30.05.2022 03:59:00.000 GMT+0200,1.07483,1.07484,1.07475,1.07483,46.8
30.05.2022 04:00:00.000 GMT+0200,1.07482,1.07502,1.07482,1.07495,83.26
30.05.2022 04:01:00.000 GMT+0200,1.07490,1.07499,1.07482,1.07482,41.06
30.05.2022 04:02:00.000 GMT+0200,1.07482,1.07487,1.07481,1.07482,60.6
30.05.2022 04:03:00.000 GMT+0200,1.07481,1.07482,1.07468,1.07469,31.58
30.05.2022 04:04:00.000 GMT+0200,1.07469,1.07473,1.07465,1.07470,41.21
30.05.2022 04:05:00.000 GMT+0200,1.07472,1.07479,1.07472,1.07479,70.09
30.05.2022 04:06:00.000 GMT+0200,1.07480,1.07480,1.07474,1.07478,74.42
30.05.2022 04:07:00.000 GMT+0200,1.07477,1.07478,1.07467,1.07470,66.33
30.05.2022 04:08:00.000 GMT+0200,1.07468,1.07494,1.07468,1.07494,79.16
30.05.2022 04:09:00.000 GMT+0200,1.07496,1.07507,1.07491,1.07505,59.78
30.05.2022 04:10:00.000 GMT+0200,1.07504,1.07518,1.07504,1.07515,53.58
30.05.2022 04:11:00.000 GMT+0200,1.07517,1.07517,1.07506,1.07514,60.49
30.05.2022 04:12:00.000 GMT+0200,1.07515,1.07516,1.07509,1.07510,49.48
30.05.2022 04:13:00.000 GMT+0200,1.07510,1.07510,1.07501,1.07503,31.98
30.05.2022 04:14:00.000 GMT+0200,1.07505,1.07525,1.07501,1.07524,60.51
30.05.2022 04:15:00.000 GMT+0200,1.07526,1.07543,1.07524,1.07541,88.47
30.05.2022 04:16:00.000 GMT+0200,1.07540,1.07547,1.07536,1.07544,78.97
30.05.2022 04:17:00.000 GMT+0200,1.07547,1.07548,1.07535,1.07546,102.98
30.05.2022 04:18:00.000 GMT+0200,1.07546,1.07556,1.07546,1.07554,120.24
30.05.2022 04:19:00.000 GMT+0200,1.07556,1.07557,1.07549,1.07553,60.3
30.05.2022 04:20:00.000 GMT+0200,1.07555,1.07557,1.07553,1.07553,65.32
30.05.2022 04:21:00.000 GMT+0200,1.07551,1.07558,1.07545,1.07555,44.1
30.05.2022 04:22:00.000 GMT+0200,1.07555,1.07555,1.07543,1.07549,52.94
30.05.2022 04:23:00.000 GMT+0200,1.07550,1.07553,1.07533,1.07533,183.87
30.05.2022 04:24:00.000 GMT+0200,1.07530,1.07532,1.07522,1.07524,129.16
30.05.2022 04:25:00.000 GMT+0200,1.07524,1.07534,1.07519,1.07534,55.27
30.05.2022 04:26:00.000 GMT+0200,1.07534,1.07547,1.07533,1.07547,48.68
30.05.2022 04:27:00.000 GMT+0200,1.07545,1.07553,1.07537,1.07553,27.37
30.05.2022 04:28:00.000 GMT+0200,1.07553,1.07555,1.07547,1.07555,45.39
30.05.2022 04:29:00.000 GMT+0200,1.07556,1.07558,1.07551,1.07554,41.3
30.05.2022 04:30:00.000 GMT+0200,1.07552,1.07553,1.07536,1.07538,48.36
30.05.2022 04:31:00.000 GMT+0200,1.07537,1.07537,1.07515,1.07521,104.77
30.05.2022 04:32:00.000 GMT+0200,1.07521,1.07522,1.07512,1.07512,82.86
30.05.2022 04:33:00.000 GMT+0200,1.07513,1.07521,1.07511,1.07511,63.71
30.05.2022 04:34:00.000 GMT+0200,1.07513,1.07515,1.07511,1.07511,87.27
